video,yt_id,duration,title,singer,audio,lyric,year,submatch,match,tempo_transition_complexity,active_bpm_variance,pitch_high,pitch_low,pitch_range,rms_variation,repeat_area_size,repetition_ratio,key,scale,strength,tempo_variance
Sistar - Loving U [Audio_DL],pdy02f4HUqs,3:42,Loving U,씨스타,Q1,Q1,2012,2,0,0.1492615481303027,782.9198697212927,748.5871016367529,65.40639132514966,683.1807103116032,0.0117259658873081,71921866,0.7961637459993588,A,major,0.9598226547241212,4.044781846868913
BIGBANG - Fantastic Baby (Audio),5vzv_A45YMc,3:51,Fantastic Baby,빅뱅,Q1,Q1,2012,2,0,0.1508176862507571,560.104621897278,98.56656061031477,65.40639132514966,33.16016928516511,0.0177184604108333,77447616,0.7960602837955415,D,minor,0.9283919930458068,3.5254938832326075
BIGBANG(빅뱅) - WE LIKE 2 PARTY [가사_Lyrics],JfG8brANDPk,3:16,We like 2 party,빅뱅,Q1,Q1,2015,2,0,0.096283984328624,82.6905308896457,140.20166900511882,65.40639132514966,74.79527767996916,0.0135356448590755,55612168,0.7918263807868633,E,major,0.9088802933692932,5.466252084392041
BIGBANG - 뱅뱅뱅 (BANG BANG BANG) (AUDIO),mWPBClH1Pjw,3:45,Bang Bang Bang,빅뱅,Q1,Q1,2015,2,0,0.1471655093792102,480.4439397524045,223.84553226259095,65.40639132514966,158.43914093744132,0.0128244878724217,55879592,0.6055121381689097,C,minor,0.7654889822006226,4.071517012976251
버스커 버스커(Busker Busker) - 벚꽃 엔딩 [가사_Lyrics],uEsT7K_X7Pw,4:22,벚꽃 엔딩,버스커버스커,Q1,Q1,2012,2,0,0.1157061543934542,396.7533239594261,460.8094140410758,65.40639132514966,395.4030227159261,0.0013516491744667,61669822,0.4914963866264076,E,major,0.897657573223114,6.326948040758725
버스커 버스커(Busker Busker) - 꽃송이가 [가사_Lyrics],tHkMjexi2_Q,3:24,꽃송이가,버스커버스커,Q1,Q1,2012,2,0,0.1337215941532488,310.50373931429584,468.8642207165331,65.40639132514966,403.4578293913835,0.0013265993911772,52236096,0.6878373653965348,B,major,0.8782764673233032,3.7222048795946914
4.정말로 사랑한다면 - If You Really Love Me,nteCoZ3ZX_Q,4:14,정말로 사랑한다면,버스커버스커,Q1,Q1,2012,2,0,0.1115989754848152,411.00938901279625,403.4817790100553,65.40639132514966,338.07538768490565,0.0049072438850998,61195018,0.5160599896054358,Bb,major,0.9466612935066224,3.387171714077209
DNA,SxAvr92fRg4,3:44,DNA,BTS,Q1,Q1,2017,2,0,0.1738813735691987,907.6550553371284,171.61434972294217,65.40639132514966,106.20795839779252,0.0136820496991276,41074204,0.4487166814715999,C#,minor,0.8636869788169861,4.04596664674679
IDOL,9IVhjh15ofo,3:43,IDOL,BTS,Q1,Q1,2018,2,0,0.1394767017617012,192.6701917636028,86.80420620725057,65.40639132514966,21.397814882100917,0.0165657363831996,65322184,0.7161573936776994,C#,minor,0.8849532604217529,3.633241804182635
Anpanman,EBf6lwkChnQ,3:53,Anpanman,BTS,Q1,Q1,2018,2,0,0.0859079130954753,67.96853565129904,176.64303400994282,65.40639132514966,111.23664268479315,0.0144795114174485,55924802,0.560199956582221,C#,minor,0.884113073348999,1.8304646064154837
K.will(케이윌) - Love Blossom (러브블러썸) [가사_Lyrics],WmCy7VJPPk4,3:37,Love Blossom,케이윌,Q1,Q1,2013,2,0,0.1730066623683644,769.3385795159805,241.30149553281768,65.40639132514966,175.89510420766803,0.0013905508676543,31913872,0.371902663241149,C#,major,0.9032015204429626,3.3931019993809097
케이윌(K.will) - 오늘부터 1일 (Day 1) [가사_Lyrics],3fUKF8wKP0I,3:27,오늘부터 1일,케이윌,Q1,Q1,2014,2,0,0.1578235890503548,357.71895633627287,290.2917403700367,65.40639132514966,224.88534904488705,0.0044241594150662,64063190,0.8208137285086854,E,major,0.9350339770317078,3.388576012309908
케이윌(K.will) - 말해! 뭐해_ [태양의 후예 OST] [가사_Lyrics],aFgy_E_PV44,3:38,말해! 뭐해?,케이윌,Q1,Q1,2016,2,0,0.1747084626083235,636.3127969469365,502.5162292967395,65.40639132514966,437.10983797158985,0.0042107230983674,41906154,0.4840516729557191,E,major,0.903510570526123,3.7711292220985784
HyunA (현아) - Bubble Pop! - Color Coded Lyrics (HAN_ROM_ENG),HB_TYdo9jw4,3:34,Bubble Pop!,현아,Q1,Q1,2011,2,0,0.0592842380071793,61.36123317737263,113.87914162255151,65.40639132514966,48.47275029740186,0.0131848463788628,70738896,0.8448286400662115,F,major,0.8749416470527649,1.9323282766865555
HyunA (현아) – Babe (베베) Lyrics (Han_Rom_Eng),RURqTdDwPBg,3:14,베베,현아,Q1,Q1,2017,2,0,0.1240981240981241,430.0040636761115,167.69467255813382,65.40639132514966,102.28828123298416,0.0145634682849049,43369914,0.6335924888067783,C#,minor,0.9110400676727296,5.028925751968376
